playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xPlayStopped,playStopped,xPlayContinuedInZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,penalityMinutes,penalties
8462047,2008,Martin Biron,PHI,G,all,55,189391.0,143.13,146.0,3178.0,48.6,41.0,949.06,137.08,1876.0,364.0,139.0,51.95,44.03,47.15,55.0,43.0,48.0,0.0,0.0
8462047,2008,Martin Biron,PHI,G,5on5,55,143716.0,94.8,108.0,2376.0,36.42,33.0,690.76,92.1,1411.0,258.0,84.0,40.51,31.21,23.08,47.0,34.0,27.0,0.0,0.0
8462047,2008,Martin Biron,PHI,G,4on5,55,20966.0,33.07,27.0,546.0,1.72,0.0,189.42,30.81,323.0,63.0,40.0,6.54,7.96,18.57,3.0,7.0,17.0,0.0,0.0
8462047,2008,Martin Biron,PHI,G,5on4,55,16400.0,2.39,1.0,60.0,7.98,7.0,10.4,2.3,40.0,7.0,2.0,1.1,0.79,0.5,0.0,1.0,0.0,0.0,0.0
8470266,2008,Tobias Stephan,DAL,G,other,10,2569.0,1.6,3.0,19.0,0.17,0.0,5.68,1.6,11.0,1.0,3.0,0.33,0.13,1.14,2.0,1.0,0.0,0.0,0.0
8470266,2008,Tobias Stephan,DAL,G,all,10,26272.0,18.55,27.0,338.0,5.54,6.0,106.58,18.19,195.0,61.0,12.0,6.7,7.37,4.48,11.0,12.0,4.0,0.0,0.0
8470266,2008,Tobias Stephan,DAL,G,5on5,10,17855.0,12.32,17.0,250.0,3.97,5.0,80.15,12.05,150.0,46.0,6.0,5.12,5.47,1.74,6.0,9.0,2.0,0.0,0.0
8470266,2008,Tobias Stephan,DAL,G,4on5,10,2560.0,4.09,7.0,60.0,0.14,0.0,18.79,4.0,28.0,11.0,3.0,1.08,1.41,1.6,3.0,2.0,2.0,0.0,0.0
8470266,2008,Tobias Stephan,DAL,G,5on4,10,3288.0,0.54,0.0,9.0,1.26,1.0,1.96,0.54,6.0,3.0,0.0,0.18,0.36,0.0,0.0,0.0,0.0,0.0,0.0
8458988,2008,Manny Fernandez,BOS,G,other,28,2617.0,5.77,2.0,72.0,0.83,3.0,20.23,5.23,34.0,14.0,6.0,1.28,1.94,2.54,1.0,0.0,1.0,0.0,0.0
8458988,2008,Manny Fernandez,BOS,G,all,28,98644.0,73.72,71.0,1355.0,26.15,27.0,411.06,71.54,779.0,209.0,72.0,23.15,25.07,25.5,23.0,23.0,25.0,2.0,1.0
8458988,2008,Manny Fernandez,BOS,G,5on5,28,77411.0,46.9,45.0,1017.0,19.78,18.0,308.98,45.71,610.0,152.0,37.0,18.23,18.02,10.65,18.0,15.0,12.0,0.0,0.0
8458988,2008,Manny Fernandez,BOS,G,4on5,28,9086.0,19.0,21.0,232.0,0.54,1.0,75.05,18.55,114.0,36.0,27.0,2.89,4.31,11.8,2.0,7.0,12.0,2.0,1.0
8458988,2008,Manny Fernandez,BOS,G,5on4,28,9530.0,2.06,3.0,34.0,5.0,5.0,6.8,2.03,21.0,7.0,2.0,0.74,0.81,0.5,2.0,1.0,0.0,0.0,0.0
8471695,2008,Tuukka Rask,BOS,G,other,1,109.0,0.13,0.0,2.0,0.02,0.0,0.35,0.13,2.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471695,2008,Tuukka Rask,BOS,G,all,1,3598.0,1.76,0.0,55.0,0.99,2.0,16.16,1.72,39.0,3.0,2.0,0.93,0.34,0.49,0.0,0.0,0.0,0.0,0.0
8471695,2008,Tuukka Rask,BOS,G,5on5,1,3249.0,1.61,0.0,50.0,0.93,2.0,14.4,1.56,34.0,3.0,2.0,0.78,0.34,0.49,0.0,0.0,0.0,0.0,0.0
8471695,2008,Tuukka Rask,BOS,G,4on5,1,60.0,0.02,0.0,3.0,0.0,0.0,1.41,0.02,3.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471695,2008,Tuukka Rask,BOS,G,5on4,1,180.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471186,2008,Yann Danis,NYI,G,other,31,3097.0,10.58,7.0,92.0,0.6,1.0,29.25,9.57,40.0,20.0,15.0,1.65,2.55,6.38,2.0,2.0,3.0,0.0,0.0
8471186,2008,Yann Danis,NYI,G,all,31,105607.0,87.6,84.0,1791.0,27.32,18.0,512.47,84.64,987.0,221.0,91.0,28.0,27.1,32.5,28.0,27.0,29.0,0.0,0.0
8471186,2008,Yann Danis,NYI,G,5on5,31,81595.0,55.21,51.0,1347.0,21.1,15.0,373.86,53.88,743.0,166.0,47.0,22.38,20.34,12.5,23.0,22.0,6.0,0.0,0.0
8471186,2008,Yann Danis,NYI,G,4on5,31,10801.0,19.84,25.0,305.0,0.87,0.0,98.72,19.24,169.0,29.0,27.0,3.42,3.36,13.06,3.0,3.0,19.0,0.0,0.0
8471186,2008,Yann Danis,NYI,G,5on4,31,10114.0,1.76,1.0,37.0,4.69,1.0,6.96,1.76,28.0,5.0,2.0,0.46,0.73,0.57,0.0,0.0,1.0,0.0,0.0
8470594,2008,Marc-Andre Fleury,PIT,G,other,62,8893.0,16.49,15.0,232.0,3.74,3.0,65.54,15.17,114.0,38.0,22.0,3.85,4.8,7.83,7.0,2.0,6.0,0.0,0.0
8470594,2008,Marc-Andre Fleury,PIT,G,all,62,218191.0,154.13,162.0,3471.0,53.43,64.0,1019.68,148.04,1983.0,432.0,132.0,55.16,51.49,47.47,55.0,56.0,51.0,8.0,4.0
8470594,2008,Marc-Andre Fleury,PIT,G,5on5,62,162104.0,94.67,100.0,2493.0,38.58,47.0,729.03,92.32,1469.0,293.0,63.0,42.86,34.59,17.22,44.0,33.0,23.0,8.0,4.0
8470594,2008,Marc-Andre Fleury,PIT,G,4on5,62,23961.0,36.87,38.0,630.0,1.63,3.0,205.42,34.52,341.0,77.0,43.0,6.7,8.95,21.22,4.0,13.0,21.0,0.0,0.0
8470594,2008,Marc-Andre Fleury,PIT,G,5on4,62,23233.0,6.0,9.0,112.0,9.43,11.0,18.6,5.94,56.0,24.0,4.0,1.65,3.15,1.2,0.0,8.0,1.0,0.0,0.0
8473474,2008,Riku Helenius,T.B,G,other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
